::1 - - [29/Mar/2020:10:08:06 +0000] "GET /login HTTP/1.1" 200 1102 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
::1 - - [29/Mar/2020:10:08:06 +0000] "GET /css/normalize.css HTTP/1.1" 200 6138 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
::1 - - [29/Mar/2020:10:08:06 +0000] "GET /css/main.css HTTP/1.1" 200 5045 "http://localhost:3000/login" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
::1 - - [29/Mar/2020:10:08:06 +0000] "GET /images/login.jpg HTTP/1.1" 200 150343 "http://localhost:3000/css/main.css" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/79.0.3945.88 Safari/537.36"
::1 - GET /login HTTP/1.1 200 1102 - 26.814 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 9.440 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 11.073 ms
::1 - GET /images/login.jpg HTTP/1.1 200 150343 - 1.182 ms
::1 - GET / HTTP/1.1 200 3703 - 155.300 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 10.350 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 9.489 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 14.876 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 2.020 ms
::1 - GET /article/12 HTTP/1.1 200 1450 - 377.052 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 2.190 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 2.004 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 2.123 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.755 ms
::ffff:127.0.0.1 - GET /article/12 HTTP/1.1 200 1450 - 90.996 ms
::ffff:127.0.0.1 - GET /css/normalize.css HTTP/1.1 200 6138 - 8.539 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 14.142 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 14.432 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 0.882 ms
::1 - GET /about HTTP/1.1 200 1277 - 5.174 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 3.693 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 3.270 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 10.705 ms
::1 - GET /images/banner.jpg HTTP/1.1 200 27615 - 1.074 ms
::1 - GET /friends HTTP/1.1 200 1783 - 2.673 ms
::1 - GET /css/normalize.css HTTP/1.1 200 6138 - 4.994 ms
::1 - GET /css/main.css HTTP/1.1 200 5045 - 10.868 ms
::1 - GET /images/avatar.jpg HTTP/1.1 200 19739 - 13.924 ms
